sector,ticker,total_profit,avg_profit
Technology,NVDA,11.759080568209953,0.03275509907579374
Technology,MSFT,0.0,0.0
Technology,AAPL,0.0,0.0
Communication,META,0.15926093068793534,0.0004436237623619369
Communication,DIS,0.0,0.0
Communication,GOOGL,113.02953760694086,0.3148455086544314
Finance,BAC,32.00015138036382,0.089136911923019
Finance,JPM,25.229197521504034,0.07027631621588867
Finance,GS,85.901955467895,0.23928121300249303
Consumer,PG,35.593534409201624,0.09914633540167583
Consumer,WMT,27.230906961104886,0.07585210852675456
Consumer,KO,7.8761130953591945,0.02193903369180834
Energy,NEE,14.020247914570078,0.03905361536091944
Energy,CVX,0.0,0.0
Energy,XOM,36.39145861885872,0.10136896551214128
Industrial,CAT,0.0,0.0
Industrial,BA,2.7354294791792313,0.007619580721947719
Industrial,UNP,198.65391521248281,0.5533535242687544
